"","calendar","diesel_price","dollar"
"168","2019-03-31","45.05","64,73"
"169","2019-03-30","45.05","64,80"
"170","2019-03-29","45.05","64,59"
"171","2019-03-28","45.05","64,16"
"172","2019-03-27","45.05","64,49"
"173","2019-03-26","45.05","63,77"
"174","2019-03-25","45.05","63,77"
"175","2019-03-24","45.05","63,77"
"176","2019-03-23","45.05","63,74"
"177","2019-03-22","45.05","64,28"
"178","2019-03-21","45.05","64,31"
"179","2019-03-20","45.05","64,66"
"180","2019-03-19","45.05","65,42"
"181","2019-03-18","45.05","65,42"
"182","2019-03-17","45.05","65,42"
"183","2019-03-16","45.05","65,40"
"184","2019-03-15","45.05","65,58"
"185","2019-03-14","45.05","65,76"
"186","2019-03-13","45.05","66,07"
"187","2019-03-12","45.05","65,96"
"188","2019-03-11","45.05","65,96"
"189","2019-03-10","45.05","65,96"
"190","2019-03-09","45.05","65,96"
"191","2019-03-08","45.05","65,84"
"192","2019-03-07","45.05","65,80"
"193","2019-03-06","45.05","65,79"
"194","2019-03-05","45.05","65,81"
"195","2019-03-04","45.05","65,81"
"196","2019-03-03","45.05","65,81"
"197","2019-03-02","45.05","65,88"
"198","2019-03-01","45.05","65,75"
"199","2019-02-28","45.05","65,61"
"200","2019-02-27","45.05","65,25"
"201","2019-02-26","45.05","65,51"
"202","2019-02-25","45.05","65,51"
"203","2019-02-24","45.05","65,51"
"204","2019-02-23","45.05","65,54"
"205","2019-02-22","45.05","65,85"
"206","2019-02-21","46.45","65.5401"
"207","2019-02-20","46.44","65.8568"
"208","2019-02-19","46.43","66.2022"
"209","2019-02-18","46.42","66.247"
"210","2019-02-17","46.41","66.7044"
"211","2019-02-16","46.4","66.7044"
"212","2019-02-15","46.39","66.7044"
"213","2019-02-14","46.38","66.5429"
"214","2019-02-13","46.37","65.6783"
"215","2019-02-12","46.36","65.7147"
"216","2019-02-11","46.35","65.6517"
"217","2019-02-10","46.34","66.0628"
"218","2019-02-09","46.33","66.0628"
"219","2019-02-08","46.32","66.0628"
"220","2019-02-07","46.31","66.0199"
"221","2019-02-06","46.3","65.6686"
"222","2019-02-05","46.29","65.5691"
"223","2019-02-04","46.28","65.5859"
"224","2019-02-03","46.27","65.6601"
"225","2019-02-02","46.26","65.6601"
"226","2019-02-01","46.25","65.6601"
"227","2019-01-31","46.24","65.3577"
"228","2019-01-30","46.23","66.0987"
"229","2019-01-29","46.22","66.3412"
"230","2019-01-28","46.21","65.93"
"231","2019-01-27","46.2","65.917"
"232","2019-01-26","46.19","65.917"
"233","2019-01-25","46.18","65.917"
"234","2019-01-24","46.17","66.0016"
"235","2019-01-23","46.16","66.3318"
"236","2019-01-22","46.15","66.5499"
"237","2019-01-21","46.14","66.3634"
"238","2019-01-20","46.13","66.3309"
"239","2019-01-19","46.12","66.3309"
"240","2019-01-18","46.11","66.3309"
"241","2019-01-17","46.1","66.4438"
"242","2019-01-16","46.09","66.7617"
"243","2019-01-15","46.08","67.082"
"244","2019-01-14","46.07","67.192"
"245","2019-01-13","46.06","66.9167"
"246","2019-01-12","46.05","66.9167"
"247","2019-01-11","46.04","66.9167"
"248","2019-01-10","46.03","66.8605"
"249","2019-01-09","46.02","67.0795"
"250","2019-01-08","46.01","69.4706"
"251","2019-01-07","46","69.4706"
"252","2019-01-06","45.99","69.4706"
"253","2019-01-05","45.98","69.4706"
"254","2019-01-04","45.97","69.4706"
"255","2019-01-03","45.96","69.4706"
"256","2019-01-02","45.95","69.4706"
"257","2019-01-01","45.94","69.4706"
"258","2018-12-31","45.93","69.4706"
"259","2018-12-30","45.92","69.4706"
"260","2018-12-29","45.91","69.4706"
"261","2018-12-28","45.9","69.5218"
"262","2018-12-27","45.89","68.8762"
"263","2018-12-26","45.88","68.8865"
"264","2018-12-25","45.87","68.7448"
"265","2018-12-24","45.86","68.4073"
"266","2018-12-23","45.85","68.0085"
"267","2018-12-22","45.84","68.0085"
"268","2018-12-21","45.83","68.0085"
"269","2018-12-20","45.82","67.371"
"270","2018-12-19","45.81","67.1121"
