"";"cargo_type";"original_value";"Freq"
"50";"необработанные";"Ликеры";310
"51";"необработанные";"Виноводочная продукция";51
"52";"необработанные";"Полиизоцианат РМ-200";44
"53";"необработанные";"Безалкогольные напитки";39
"54";"необработанные";"сахар в мешках";35
"55";"необработанные";"Масла";28
"56";"необработанные";"Соки";27
"57";"необработанные";"пленка";22
"58";"необработанные";"Полиизоцианат МДИ РМ-200";19
"59";"необработанные";"краска";17
"60";"необработанные";"Полиизоцианат РМ-200 (250 кг)";16
"61";"необработанные";"товары для школы";16
"62";"необработанные";"Келтан 8550 С";15
"63";"необработанные";"Полиизоцианат РМ-200 ( по 250 кг)";14
"64";"необработанные";"Чай";14
"65";"необработанные";"келтан 8570 С";13
"66";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.)";12
"67";"необработанные";"Полиизоцианат";12
"68";"необработанные";"Келтан 8550";9
"69";"необработанные";"Краска";9
"70";"необработанные";"Сахар";9
"71";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.) -20,4 т";8
"72";"необработанные";"Келтан 8570С";8
"73";"необработанные";"Профиль";8
"74";"необработанные";"Ровинг EDR24-4800-386";8
"75";"необработанные";"соки";8
"76";"необработанные";"Ваннат 6112";7
"77";"необработанные";"Ваннат 6112 (по 215 кг)";7
"78";"необработанные";"Полиизоционат РМ 200";7
"79";"необработанные";"Пуранол D 220 (по 200 кг)";7
"80";"необработанные";"Световые опоры";7
"81";"необработанные";"Сульфат бария марки Portaryte B 25 ( по 25 кг.)";7
"82";"необработанные";"Химия неопасная";7
"83";"необработанные";"Байпрен 210 (по 25 кг)";6
"84";"необработанные";"Неопасная химия";6
"85";"необработанные";"концентрат";5
"86";"необработанные";"Масла (неопасные)";5
"87";"необработанные";"Полихлоропреновый Каучук W";5
"88";"необработанные";"Сажа сыпучка, биг-беги, может пачкаться. Требования к машине - высота не менее 2,3 метров. Обязательно нужны ремни для крепления.";5
"89";"необработанные";"Сульфат бария  Портарит D20 (по 25 кг) - 20,4 тонн";5
"90";"необработанные";"ТНП";5
"91";"необработанные";"Трихлорпропилфосфат";5
"92";"необработанные";"Алкоголь";4
"93";"необработанные";"Гофрокартон";4
"94";"необработанные";"контейнер";4
"95";"необработанные";"МАСЛА";4
"96";"необработанные";"неопасная химия";4
"97";"необработанные";"Станок";4
"98";"необработанные";"""Гидроксид алюминия Portaflame SG63 ( по 25 кг.) - 20 тонн.";3
"99";"необработанные";"Алкогольня продукция";3
"100";"необработанные";"Антипирен для поролона (по 250 кг)";3
"101";"необработанные";"Арматура";3
"102";"необработанные";"Байпрен";3
"103";"необработанные";"Байпрен 210 (по 25 кг), Келтан 5470, Келтан 3960Q";3
"104";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.)- 20,4 т.";3
